Address,Country,Flipped_Lat,Flipped_Lng,ISO2,ISO3,Index,Latitude,Location,Longitude,Poly_Ctry,Poly_ISO2,Poly_ISO3,Recorded_Lat,Recorded_Lng,Region,Type,geometry,ver_Index
"San Julian, Santa Cruz, Bolivia",Bolivia,-16.8,-62.67,BO,BOL,61,-16.8,"San Julian, Santa Cruz",-62.67,Bolivia,BO,BOL,-16.8,-62.67,South America,Original,POINT (-62.67 -16.8),
"Cotonou, Benin",Benin,6.3704,2.3715,BJ,BEN,39,6.3704,Cotonou,2.3715,Benin,BJ,BEN,6.3704,2.3715,Western Africa,Original,POINT (2.3715 6.3704),
"Cascavel, Brazil",Brazil,-24.93,-53.43,BR,BRA,80,-24.93,Cascavel,-53.43,Brazil,BR,BRA,-24.93,-53.43,South America,Original,POINT (-53.43 -24.93),
"Guaira, Brazil",Brazil,-24.08,-54.25,BR,BRA,82,-24.08,Guaira,-54.25,Brazil,BR,BRA,-24.08,-54.25,South America,Original,POINT (-54.25 -24.08),
"Cravinhos, Brazil",Brazil,-21.32,-47.75,BR,BRA,81,-21.32,Cravinhos,-47.75,Brazil,BR,BRA,-21.32,-47.75,South America,Original,POINT (-47.75 -21.32),
"Jardinopolis, Brazil",Brazil,-21.0,-47.1,BR,BRA,83,-21.0,Jardinopolis,-47.1,Brazil,BR,BRA,-21.0,-47.1,South America,Original,POINT (-47.1 -21),
"Sete Lagoas, Brazil",Brazil,-19.47,-44.25,BR,BRA,84,-19.47,Sete Lagoas,-44.25,Brazil,BR,BRA,-19.47,-44.25,South America,Original,POINT (-44.25 -19.47),
"Odziba, Congo Republic",Congo Republic,-3.55,15.516666,CG,COG,204,-3.55,Odziba,15.516666,Congo,CG,COG,-3.55,15.516666,Eastern and Southern Africa,Original,POINT (15.516666 -3.55),
"Mosso, Burundi",Burundi,-4.0,30.07,BI,BDI,89,-4.0,Mosso,30.07,Burundi,BI,BDI,-4.0,30.07,Eastern and Southern Africa,Original,POINT (30.07 -4),
"Burundi, Burundi",Burundi,-3.3731,29.9189,BI,BDI,88,-3.3731,Burundi,29.9189,Burundi,BI,BDI,-3.3731,29.9189,Eastern and Southern Africa,Original,POINT (29.9189 -3.3731),
"Beijing, China",China,40.0,105.0,CN,CHN,91,40.0,Beijing,105.0,China,CN,CHN,40.0,105.0,Asia,Original,POINT (105 40),
"Simao, China",China,21.67,101.4,CN,CHN,106,21.67,Simao,101.4,China,CN,CHN,21.67,101.4,Asia,Original,POINT (101.4 21.67),
"Nanning, China",China,22.6,108.17,CN,CHN,103,22.6,Nanning,108.17,China,CN,CHN,22.6,108.17,Asia,Original,POINT (108.17 22.6),
"Guang-xi, China",China,22.6,108.17,CN,CHN,95,22.6,Guang-xi,108.17,China,CN,CHN,22.6,108.17,Asia,Original,POINT (108.17 22.6),
"Mongzi, China",China,23.38,103.38,CN,CHN,102,23.38,Mongzi,103.38,China,CN,CHN,23.38,103.38,Asia,Original,POINT (103.38 23.38),
"Linciang, China",China,23.7,100.03,CN,CHN,100,23.7,Linciang,100.03,China,CN,CHN,23.7,100.03,Asia,Original,POINT (100.03 23.7),
"Fujian Province, China",China,24.5,117.65,CN,CHN,94,24.5,Fujian Province,117.65,China,CN,CHN,24.5,117.65,Asia,Original,POINT (117.65 24.5),
"Yunnan, China",China,25.08062,102.68681,CN,CHN,108,25.08062,Yunnan,102.68681,China,CN,CHN,25.08062,102.68681,Asia,Original,POINT (102.68681 25.08062),
"Kunming, China",China,25.12,102.72,CN,CHN,99,25.12,Kunming,102.72,China,CN,CHN,25.12,102.72,Asia,Original,POINT (102.72 25.12),
"Qujin, China",China,25.5,103.67,CN,CHN,105,25.5,Qujin,103.67,China,CN,CHN,25.5,103.67,Asia,Original,POINT (103.67 25.5),
"Oifin, China",China,25.5,103.8,CN,CHN,104,25.5,Oifin,103.8,China,CN,CHN,25.5,103.8,Asia,Original,POINT (103.8 25.5),
"Gui-yang, China",China,26.48,106.65,CN,CHN,96,26.48,Gui-yang,106.65,China,CN,CHN,26.48,106.65,Asia,Original,POINT (106.65 26.48),
"Bijie, China",China,27.05,105.23,CN,CHN,92,27.05,Bijie,105.23,China,CN,CHN,27.05,105.23,Asia,Original,POINT (105.23 27.05),
"Chengdu, China",China,30.67,104.07,CN,CHN,93,30.67,Chengdu,104.07,China,CN,CHN,30.67,104.07,Asia,Original,POINT (104.07 30.67),
"Jialize, Kunming, Yunnan, China",China,34.16182,105.29297,CN,CHN,98,34.16182,"Jialize, Kunming, Yunnan",105.29297,China,CN,CHN,34.16182,105.29297,Asia,Original,POINT (105.29297 34.16182),
"Darul Aman, Afghanistan",Afghanistan,34.48845,69.20288000000001,AF,AFG,0,34.48845,Darul Aman,69.20288000000001,Afghanistan,AF,AFG,34.48845,69.20288000000001,Asia,Original,POINT (69.20288000000001 34.48845),
"Qara- Boghe, Afghanistan",Afghanistan,34.48845,69.20288000000001,AF,AFG,2,34.48845,Qara- Boghe,69.20288000000001,Afghanistan,AF,AFG,34.48845,69.20288000000001,Asia,Original,POINT (69.20288000000001 34.48845),
"Darul Aman Kabul (2), Afghanistan",Afghanistan,34.48845,69.20288000000001,AF,AFG,1,34.48845,Darul Aman Kabul (2),69.20288000000001,Afghanistan,AF,AFG,34.48845,69.20288000000001,Asia,Original,POINT (69.20288000000001 34.48845),
"La Ulloa Mpio Rivera, Colombia",Colombia,2.62,-75.42,CO,COL,150,2.62,La Ulloa Mpio Rivera,-75.42,Colombia,CO,COL,2.62,-75.42,South America,Original,POINT (-75.42 2.62),
"Cali, Colombia",Colombia,3.5,-76.37,CO,COL,121,3.5,Cali,-76.37,Colombia,CO,COL,3.5,-76.37,South America,Original,POINT (-76.37 3.5),
"El Cerrito, Valle Del Cauca, Colombia",Colombia,3.7,-76.32,CO,COL,134,3.7,"El Cerrito, Valle Del Cauca",-76.32,Colombia,CO,COL,3.7,-76.32,South America,Original,POINT (-76.31999999999999 3.7),
"Buga, Colombia",Colombia,3.88,-76.28,CO,COL,117,3.88,Buga,-76.28,Colombia,CO,COL,3.88,-76.28,South America,Original,POINT (-76.28 3.88),
"Palmira, Colombia",Colombia,4.27,-76.32,CO,COL,159,4.27,Palmira,-76.32,Colombia,CO,COL,4.27,-76.32,South America,Original,POINT (-76.31999999999999 4.27),
"Turipana, Colombia",Colombia,8.65,-75.97,CO,COL,193,8.65,Turipana,-75.97,Colombia,CO,COL,8.65,-75.97,South America,Original,POINT (-75.97 8.65),185.0
"San Jose, Costa Rica, Costa Rica",Costa Rica,9.98,-84.07,CR,CRI,215,9.98,"San Jose, Costa Rica",-84.07,Costa Rica,CR,CRI,9.98,-84.07,Central America and Caribbean,Original,POINT (-84.06999999999999 9.98),
"Guanacaste, Costa Rica",Costa Rica,10.35,-85.13,CR,CRI,212,10.35,Guanacaste,-85.13,Costa Rica,CR,CRI,10.35,-85.13,Central America and Caribbean,Original,POINT (-85.13 10.35),
"Ca╤as, Guanacaste, Costa Rica",Costa Rica,10.43,-85.1,CR,CRI,206,10.43,"Ca╤as, Guanacaste",-85.1,Costa Rica,CR,CRI,10.43,-85.1,Central America and Caribbean,Original,POINT (-85.09999999999999 10.43),
"Bani, Dominican Republic",Dominican Republic,18.32,-70.35,DO,DOM,227,18.32,Bani,-70.35,Dominican Republic,DO,DOM,18.32,-70.35,Central America and Caribbean,Original,POINT (-70.34999999999999 18.32),
"Pichilingue, Ecuador",Ecuador,-1.1,-79.48,EC,ECU,235,-1.1,Pichilingue,-79.48,Ecuador,EC,ECU,-1.1,-79.48,South America,Original,POINT (-79.48 -1.1),
"Los Rios, Ecuador",Ecuador,-1.1,-79.48,EC,ECU,233,-1.1,Los Rios,-79.48,Ecuador,EC,ECU,-1.1,-79.48,South America,Original,POINT (-79.48 -1.1),
"Porto Viejo, Ecuador",Ecuador,-1.07,-80.43,EC,ECU,238,-1.07,Porto Viejo,-80.43,Ecuador,EC,ECU,-1.07,-80.43,South America,Original,POINT (-80.43000000000001 -1.07),222.0
"Sids, Egypt",Egypt,28.93,30.98,EG,EGY,243,28.93,Sids,30.98,Egypt,EG,EGY,28.93,30.98,North Africa and Near East,Original,POINT (30.98 28.93),
"Gemmeiza, Egypt",Egypt,30.72,31.12,EG,EGY,239,30.72,Gemmeiza,31.12,Egypt,EG,EGY,30.72,31.12,North Africa and Near East,Original,POINT (31.12 30.72),
"Nubaria, Egypt",Egypt,31.0,30.5,EG,EGY,241,31.0,Nubaria,30.5,Egypt,EG,EGY,31.0,30.5,North Africa and Near East,Original,POINT (30.5 31),
"Sakha, Egypt",Egypt,31.12,30.95,EG,EGY,242,31.12,Sakha,30.95,Egypt,EG,EGY,31.12,30.95,North Africa and Near East,Original,POINT (30.95 31.12),
"Shambiko, Eritrea",Eritrea,14.92,37.83,ER,ERI,274,14.92,Shambiko,37.83,Eritrea,ER,ERI,14.92,37.83,Eastern and Southern Africa,Original,POINT (37.83 14.92),
