Index,Address,Country,Country_Code,Latitude,Location,Longitude,Recorded_Lat,Recorded_Lng,Region,Type,ver_Index
38,"San Pedro, Belize",Belize,BLZ,16.23,San Pedro,-89.0,16.23,-89.0,Central America and Caribbean,correct location data,
39,"Cotonou, Benin",Benin,BEN,6.3704,Cotonou,2.3715,6.3704,2.3715,Western Africa,correct location data,
40,"Algarrobal, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-21.45,Algarrobal,-63.65,-21.45,-63.65,South America,correct location data,
42,"Ca╤ada Larga, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-17.57,Ca╤ada Larga,-62.43,-17.57,-62.43,South America,correct location data,
43,"Charagua, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-19.78,Charagua,-63.23,-19.78,-63.23,South America,correct location data,
44,"Chuquisaca, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-18.47,Chuquisaca,-64.47,-18.47,-64.47,South America,correct location data,
45,"Cotoca, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-17.75,Cotoca,-62.95,-17.75,-62.95,South America,correct location data,
48,"El Vallecito, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-17.77,El Vallecito,-63.15,-17.77,-63.15,South America,correct location data,
51,"Iboperenda, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-19.87,Iboperenda,-63.77,-19.87,-63.77,South America,correct location data,
55,"Okinawa, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-17.33,Okinawa,-62.08,-17.33,-62.08,South America,correct location data,
56,"Pailon, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-17.65,Pailon,-62.65,-17.65,-62.65,South America,correct location data,
57,"Pairumani, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-17.35,Pairumani,-66.32,-17.35,-66.32,South America,correct location data,
61,"San Julian, Santa Cruz, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-16.8,"San Julian, Santa Cruz",-62.67,-16.8,-62.67,South America,correct location data,
68,"Vallegrande, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-18.47,Vallegrande,-64.12,-18.47,-64.12,South America,correct location data,
71,"Zuda╤es, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-19.12,Zuda╤es,-64.2,-19.12,-64.2,South America,correct location data,
72,"Goodhope, Botswana",Botswana,BWA,-25.48,Goodhope,25.47,-25.48,25.47,Eastern and Southern Africa,correct location data,
73,"Hukuntsi, Botswana",Botswana,BWA,-24.0,Hukuntsi,21.8,-24.0,21.8,Eastern and Southern Africa,correct location data,
74,"Pandamatenga, Botswana",Botswana,BWA,-18.55,Pandamatenga,25.65,-18.55,25.65,Eastern and Southern Africa,correct location data,
75,"Pelotshetlha, Botswana",Botswana,BWA,-23.03,Pelotshetlha,26.517,-23.03,26.517,Eastern and Southern Africa,correct location data,
76,"Sebele, Botswana",Botswana,BWA,-24.57,Sebele,25.95,-24.57,25.95,Eastern and Southern Africa,correct location data,
77,"Sebele-lown, Botswana",Botswana,BWA,-24.6,Sebele-lown,26.0,-24.6,26.0,Eastern and Southern Africa,correct location data,
78,"Brazil, Brazil",Brazil,BRA,0.0,Brazil,0.0,-10.3333333,-53.2,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
79,"Campo Largo, Bahia, Brazil",Brazil,BRA,0.0,Campo Largo - Pr,0.0,-10.3926525,-41.4194351,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
80,"Cascavel, Brazil",Brazil,BRA,-24.93,Cascavel,-53.43,-24.93,-53.43,South America,correct location data,
81,"Cravinhos, Brazil",Brazil,BRA,-21.32,Cravinhos,-47.75,-21.32,-47.75,South America,correct location data,
82,"Guaira, Brazil",Brazil,BRA,-24.08,Guaira,-54.25,-24.08,-54.25,South America,correct location data,
83,"Jardinopolis, Brazil",Brazil,BRA,-21.0,Jardinopolis,-47.1,-21.0,-47.1,South America,correct location data,
84,"Sete Lagoas, Brazil",Brazil,BRA,-19.47,Sete Lagoas,-44.25,-19.47,-44.25,South America,correct location data,
85,"Farako-ba, Burkina Faso",Burkina Faso,BFA,11.1,Farako-ba,-4.333333,11.1,-4.333333,Western Africa,correct location data,
86,"Kamboinse, Burkina Faso",Burkina Faso,BFA,12.47,Kamboinse,-1.53,12.47,-1.53,Western Africa,correct location data,
87,"Kouare, Burkina Faso",Burkina Faso,BFA,11.916666,Kouare,-0.166666,11.916666,-0.166666,Western Africa,correct location data,
88,"Burundi, Burundi",Burundi,BDI,-3.3731,Burundi,29.9189,-3.3731,29.9189,Eastern and Southern Africa,correct location data,
89,"Mosso, Burundi",Burundi,BDI,-4.0,Mosso,30.07,-4.0,30.07,Eastern and Southern Africa,correct location data,
91,"Beijing, China",China,CHN,40.0,Beijing,105.0,40.0,105.0,Asia,correct location data,
92,"Bijie, China",China,CHN,27.05,Bijie,105.23,27.05,105.23,Asia,correct location data,
93,"Chengdu, China",China,CHN,30.67,Chengdu,104.07,30.67,104.07,Asia,correct location data,
94,"Fujian Province, China",China,CHN,24.5,Fujian Province,117.65,24.5,117.65,Asia,correct location data,
95,"Guang-xi, China",China,CHN,22.6,Guang-xi,108.17,22.6,108.17,Asia,correct location data,
96,"Gui-yang, China",China,CHN,26.48,Gui-yang,106.65,26.48,106.65,Asia,correct location data,
97,"Honghe County, Yunnan, China",China,CHN,0.0,Honghe,0.0,23.234737,102.301136,Asia,no lat/lng entered / incorrect lat/lng - geocoded location,
98,"Jialize, Kunming, Yunnan, China",China,CHN,34.16182,"Jialize, Kunming, Yunnan",105.29297,34.16182,105.29297,Asia,correct location data,
99,"Kunming, China",China,CHN,25.12,Kunming,102.72,25.12,102.72,Asia,correct location data,
100,"Linciang, China",China,CHN,23.7,Linciang,100.03,23.7,100.03,Asia,correct location data,
101,"Yangjia River, 723000, Mian, Shaanxi, China",China,CHN,0.0,Mian Yang,0.0,33.1051332,106.686846,Asia,no lat/lng entered / incorrect lat/lng - geocoded location,
102,"Mongzi, China",China,CHN,23.38,Mongzi,103.38,23.38,103.38,Asia,correct location data,
103,"Nanning, China",China,CHN,22.6,Nanning,108.17,22.6,108.17,Asia,correct location data,
104,"Oifin, China",China,CHN,25.5,Oifin,103.8,25.5,103.8,Asia,correct location data,
105,"Qujin, China",China,CHN,25.5,Qujin,103.67,25.5,103.67,Asia,correct location data,
106,"Simao, China",China,CHN,21.67,Simao,101.4,21.67,101.4,Asia,correct location data,
107,"Wenshan City, Yunnan, China",China,CHN,22.47,Wenshan,106.18,23.4191513,104.0896466,Asia,no lat/lng entered / incorrect lat/lng - geocoded location,
108,"Yunnan, China",China,CHN,25.08062,Yunnan,102.68681,25.08062,102.68681,Asia,correct location data,
109,"Aguas Blancas., Antioquia, Colombia",Colombia,COL,0.0,Aguas Blancas,0.0,6.9003599,-75.7235025,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
110,"Aguas Claras, Meta, Colombia",Colombia,COL,0.0,Aguas Claras,0.0,3.6304011,-73.8070253,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
111,"Colombia, Colombia",Colombia,COL,0.0,Andremoni,0.0,2.8894434,-73.783892,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
112,"Colombia, Colombia",Colombia,COL,0.0,Arborates,0.0,2.8894434,-73.783892,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
114,"Dagua, Valle del Cauca, Colombia",Colombia,COL,0.0,"Atuncela, Dagua",0.0,3.65186675,-76.72289271511232,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
115,"Bucaramanga, Santander, Colombia",Colombia,COL,0.0,Bucaramanga,0.0,7.1114611,-73.1172869,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
116,"Bucaramanga, Santander, Colombia",Colombia,COL,0.0,"Bucaramanga, Pinchote",0.0,7.1114611,-73.1172869,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
117,"Buga, Colombia",Colombia,COL,3.88,Buga,-76.28,3.88,-76.28,South America,correct location data,
118,"Vía Mediacanoa - Buga, 763042, Buga, Valle del Cauca, Colombia",Colombia,COL,0.0,"Buga, Media Canoa",0.0,3.8916716,-76.3418933,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
119,"Caicedonia, Valle del Cauca, Colombia",Colombia,COL,0.0,Caicedonia,0.0,4.3080642000000005,-75.83980499303324,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
120,"Caldono, Cauca, Colombia",Colombia,COL,0.0,Caldono,0.0,2.796326,-76.4836526,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
121,"Cali, Colombia",Colombia,COL,3.5,Cali,-76.37,3.5,-76.37,South America,correct location data,
122,"Campo Alegre Airport, Huila, Colombia",Colombia,COL,0.0,"Campo Alegre, Huila",0.0,2.663056,-75.34,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
123,"Arroyo Negro, Caserío Flecha, Córdoba, Colombia",Colombia,COL,0.0,Ca╤a Flecha,0.0,8.7241403,-75.6877463,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
124,"El Carmen de Bolívar, Bolívar, Colombia",Colombia,COL,0.0,Carmen De Bolivar,0.0,9.7178623,-75.1238318,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
125,"Cereté, Córdoba, Colombia",Colombia,COL,0.0,"Cerete, Cordoba",0.0,8.8884178,-75.84239456572658,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
126,"Cerrito, Santander, Colombia",Colombia,COL,0.0,Cerrito,0.0,6.8435992,-72.6939627,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
127,"Río de Oro, Norte de Santander, Colombia",Colombia,COL,0.0,Cienega De Oro,0.0,9.1108885,-72.8089164,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
128,"Ciudad Bolívar, Antioquia, Colombia",Colombia,COL,0.0,Ciudad Bolivar,0.0,5.8500342,-76.0208666,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
129,"Colombia, Colombia",Colombia,COL,0.0,Colombia,0.0,2.8894434,-73.783892,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
130,"Córdoba, Colombia",Colombia,COL,0.0,Cordoba,0.0,8.3344713,-75.6666238,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
131,"Corozal, Valle del Cauca, Colombia",Colombia,COL,0.0,Corozal,0.0,4.3988856,-75.9180591,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
132,"Darién, Valle del Cauca, Colombia",Colombia,COL,0.0,"Darien, Valle Del Cauca",0.0,3.9318186,-76.4842408,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
