Index,Address,Country,ISO3,Latitude,Location,Longitude,Recorded_Lat,Recorded_Lng,Region,Type
1184,,DR Congo,COD,,Kasapa,,,,,incorrect location data/cannot find coordinates
1202,,Guatemala,GTM,0.0,La Máquina Caballo Blanco,0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
1213,,El Salvador,SLV,,"San Andres, El Salvador",,,,,incorrect location data/cannot find coordinates
1234,,,,,Trial Series,,,,,no location/country entered / wrong country format
1298,,South Africa,ZAF,,Oaklands Farm Mooi River,,,,,incorrect location data/cannot find coordinates
1322,,Sudan,SDN,,Hudeiba (eddamer),,,,,incorrect location data/cannot find coordinates
1324,,Sudan,SDN,,Hudeiba (eddaner),,,,,incorrect location data/cannot find coordinates
1333,,Zimbabwe,ZWE,,Makoholi Drewton,,,,,incorrect location data/cannot find coordinates
1347,"Koronnia Research Station - - - Koronivia Research, Fiji",Fiji,FJI,-18.0961112976074,Koronnia Research Station - - - Koronivia Research,178.545562744141,,,,incorrect location data/cannot find coordinates
1439,,Peru,PER,,"Caruapoma, Bella Vista, Tarapoto",,,,,incorrect location data/cannot find coordinates
1467,,Kenya,KEN,,Yala Swamp (intercrop),,,,,incorrect location data/cannot find coordinates
1468,,Kenya,KEN,,Yala Swamp (sole Crop),,,,,incorrect location data/cannot find coordinates
