Index,Type,Location,Country,Latitude,Longitude,Recorded_Lat,Recorded_Lng,Address,Country_Code
41,correct location data,Ca╤ada Larga,"Bolivia, Plurinational State of",-17.57,-62.43,-17.57,-62.43,"Ca╤ada Larga, Bolivia, Plurinational State of",BOL
42,correct location data,Charagua,"Bolivia, Plurinational State of",-19.78,-63.23,-19.78,-63.23,"Charagua, Bolivia, Plurinational State of",BOL
43,correct location data,Chuquisaca,"Bolivia, Plurinational State of",-18.47,-64.47,-18.47,-64.47,"Chuquisaca, Bolivia, Plurinational State of",BOL
44,correct location data,Cotoca,"Bolivia, Plurinational State of",-17.75,-62.95,-17.75,-62.95,"Cotoca, Bolivia, Plurinational State of",BOL
45,correct location data,El Vallecito,"Bolivia, Plurinational State of",-17.77,-63.15,-17.77,-63.15,"El Vallecito, Bolivia, Plurinational State of",BOL
46,correct location data,Iboperenda,"Bolivia, Plurinational State of",-19.87,-63.77,-19.87,-63.77,"Iboperenda, Bolivia, Plurinational State of",BOL
47,correct location data,Okinawa,"Bolivia, Plurinational State of",-17.33,-62.08,-17.33,-62.08,"Okinawa, Bolivia, Plurinational State of",BOL
48,correct location data,Pailon,"Bolivia, Plurinational State of",-17.65,-62.65,-17.65,-62.65,"Pailon, Bolivia, Plurinational State of",BOL
49,correct location data,Pairumani,"Bolivia, Plurinational State of",-17.35,-66.32,-17.35,-66.32,"Pairumani, Bolivia, Plurinational State of",BOL
50,correct location data,"San Julian, Santa Cruz","Bolivia, Plurinational State of",-16.8,-62.67,-16.8,-62.67,"San Julian, Santa Cruz, Bolivia, Plurinational State of",BOL
51,correct location data,Vallegrande,"Bolivia, Plurinational State of",-18.47,-64.12,-18.47,-64.12,"Vallegrande, Bolivia, Plurinational State of",BOL
52,correct location data,Zuda╤es,"Bolivia, Plurinational State of",-19.12,-64.2,-19.12,-64.2,"Zuda╤es, Bolivia, Plurinational State of",BOL
53,correct location data,Goodhope,Botswana,-25.48,25.47,-25.48,25.47,"Goodhope, Botswana",BWA
54,correct location data,Hukuntsi,Botswana,-24.0,21.8,-24.0,21.8,"Hukuntsi, Botswana",BWA
55,correct location data,Pandamatenga,Botswana,-18.55,25.65,-18.55,25.65,"Pandamatenga, Botswana",BWA
56,correct location data,Pelotshetlha,Botswana,-23.03,26.517,-23.03,26.517,"Pelotshetlha, Botswana",BWA
57,correct location data,Sebele,Botswana,-24.57,25.95,-24.57,25.95,"Sebele, Botswana",BWA
58,correct location data,Sebele-lown,Botswana,-24.6,26.0,-24.6,26.0,"Sebele-lown, Botswana",BWA
59,no lat/lng entered / incorrect lat/lng - geocoded location,Brazil,Brazil,0.0,0.0,-10.3333333,-53.2,"Brazil, Brazil",BRA
60,no lat/lng entered / incorrect lat/lng - geocoded location,Campo Largo - Pr,Brazil,0.0,0.0,-10.3926525,-41.4194351,"Campo Largo, Bahia, Brazil",BRA
61,correct location data,Cascavel,Brazil,-24.93,-53.43,-24.93,-53.43,"Cascavel, Brazil",BRA
62,correct location data,Cravinhos,Brazil,-21.32,-47.75,-21.32,-47.75,"Cravinhos, Brazil",BRA
63,correct location data,Guaira,Brazil,-24.08,-54.25,-24.08,-54.25,"Guaira, Brazil",BRA
64,correct location data,Jardinopolis,Brazil,-21.0,-47.1,-21.0,-47.1,"Jardinopolis, Brazil",BRA
65,correct location data,Sete Lagoas,Brazil,-19.47,-44.25,-19.47,-44.25,"Sete Lagoas, Brazil",BRA
66,correct location data,Farako-ba,Burkina Faso,11.1,-4.333333,11.1,-4.333333,"Farako-ba, Burkina Faso",BFA
