,index,location,found_lat,found_lng,matched_location
46,120,"('Caldono', 'Colombia')",2.796326,-76.4836526,"Caldono, Cauca, Colombia"
47,122,"('Campo Alegre, Huila', 'Colombia')",2.663056,-75.34,"Campo Alegre Airport, Huila, Colombia"
48,123,"('Ca╤a Flecha', 'Colombia')",8.7241403,-75.6877463,"Arroyo Negro, Caserío Flecha, Córdoba, Colombia"
49,124,"('Carmen De Bolivar', 'Colombia')",9.7178623,-75.1238318,"El Carmen de Bolívar, Bolívar, Colombia"
50,125,"('Cerete, Cordoba', 'Colombia')",8.8884178,-75.84239456572658,"Cereté, Córdoba, Colombia"
51,126,"('Cerrito', 'Colombia')",6.8435992,-72.6939627,"Cerrito, Santander, Colombia"
52,127,"('Cienega De Oro', 'Colombia')",9.1108885,-72.8089164,"Río de Oro, Norte de Santander, Colombia"
53,128,"('Ciudad Bolivar', 'Colombia')",5.8500342,-76.0208666,"Ciudad Bolívar, Antioquia, Colombia"
54,129,"('Colombia', 'Colombia')",2.8894434,-73.783892,"Colombia, Colombia"
55,130,"('Cordoba', 'Colombia')",8.3344713,-75.6666238,"Córdoba, Colombia"
56,131,"('Corozal', 'Colombia')",4.3988856,-75.9180591,"Corozal, Valle del Cauca, Colombia"
57,132,"('Darien, Valle Del Cauca', 'Colombia')",3.9318186,-76.4842408,"Darién, Valle del Cauca, Colombia"
58,133,"('Duitama', 'Colombia')",5.8277055,-73.0338939,"Duitama, 150461, Boyacá, Colombia"
59,135,"('El Espinal, Tolima', 'Colombia')",3.6461987,-75.3992722,"Mesetas De El Espinal, 73168, Tolima, Colombia"
60,136,"('El Libano', 'Colombia')",4.9157501,-75.0618177,"El Líbano, Tolima, Colombia"
61,137,"('El Naranjal', 'Colombia')",2.9142726,-76.5053277,"El Naranjal, Cauca, Colombia"
62,138,"('El Rosario', 'Colombia')",5.0330087,-75.5690318,"El Rosario, 176002, Caldas, Colombia"
63,139,"('El Tambo, Valle Del Cauca', 'Colombia')",3.7638803,-76.4861177,"El Tambor, Resguardo Indigena Gausirumos, Valle del Cauca, Colombia"
64,140,"('El Tomate', 'Colombia')",8.4554247,-76.3655876,"El Tomate, 054, Antioquia, Colombia"
65,141,"('Fuente De Oro, Granda', 'Colombia')",3.4620439,-73.6174132,"Fuente de Oro, Meta, Colombia"
66,142,"('Garzon, Huila', 'Colombia')",2.1625835,-75.55514449355248,"Garzón, 414020, Huila, Colombia"
67,143,"('Granada', 'Colombia')",6.1442998,-75.1844057,"Granada, Antioquia, Colombia"
68,144,"('Guadalajara De Buga', 'Colombia')",3.8884715,-76.2593652,"Rio Guadalajara, 042, Valle del Cauca, Colombia"
69,145,"('Independencia, Caldono', 'Colombia')",2.796326,-76.4836526,"Caldono, Cauca, Colombia"
70,146,"('La Catalina, Pereira', 'Colombia')",4.8023263,-75.6964439,"Carrera 21 bis, 576, Bostón, Risaralda, Colombia"
71,147,"('La Cubillera, Granada', 'Colombia')",2.2768381,-74.9559382,"Rio La Granada, 182010, Caquetá, Colombia"
72,148,"('La Palomera', 'Colombia')",2.9537984,-76.4195252,"La Palomera, Cauca, Colombia"
73,149,"('La Trocha 12, Granda', 'Colombia')",2.2551161,-76.90841105000001,"12, 12, Puerta Grande, Cauca, Colombia"
74,151,"('La Union, Corcega', 'Colombia')",4.5366453,-76.06681,"Corcega, Valle del Cauca, Colombia"
75,152,"('Lejania, Granada', 'Colombia')",2.7688153,-75.649768,"Lejania, Huila, Colombia"
76,153,"('Matazul', 'Colombia')",2.8894434,-73.783892,"Colombia, Colombia"
77,154,"('Menegua', 'Colombia')",4.0919294,-72.8149621,"Menegua, Meta, Colombia"
78,155,"('Mondomo, Santander', 'Colombia')",2.8606688,-76.5123296,"Rio Mondomo, El Arbolito, Cauca, Colombia"
79,157,"('Neiva, Huila', 'Colombia')",3.0332673000000003,-75.27944239597832,"Neiva, Huila, Colombia"
80,158,"('Obando, Molina', 'Colombia')",4.6220602,-76.0282284,"MOLINA, Valle del Cauca, Colombia"
81,160,"('Paraguaicito, Armenia', 'Colombia')",4.4923898,-75.73960166465673,"Armenia, Quindío, Colombia"
82,161,"('Pelaya-cesar (aguachica)', 'Colombia')",8.24811845,-73.62140380560058,"Aguachica, Cesar, Colombia"
83,162,"('Pereira', 'Colombia')",4.8142912,-75.6946451,"Pereira, 660002, Risaralda, Colombia"
84,163,"('Piendamo', 'Colombia')",2.735773,-76.5534967167817,"Piendamó, Cauca, Colombia"
85,164,"('Procampo', 'Colombia')",2.8894434,-73.783892,"Colombia, Colombia"
86,165,"('Puerto Lopez', 'Colombia')",7.7933241,-75.8401892,"Puerto Lopez, Córdoba, Colombia"
