,COUNT,Country,DAYLENGTH,ELEVATION,ELEV_M,EVAP,ElevM,Flipped_Lat,Flipped_Lng,GRIDCODE,Geocoded_Adr,Geocoded_Lat,Geocoded_Lng,ISO2,ISO3,Irrig_p,LATITUDEdec,LONGITUDEdec,Latitude,LatitudeMin,Location,LocationData,LocationID,LocationIDOld,Longitude,LongitudeMin,MAX_TEMP,MEANTEMP,MEANTEMPRange,MIN_TEMP,MegaEnviron,PRE,Region,SITEID,START,Z_M_RAIN,geometry,grlatitud,grlongitud,latitudNS,longitudEW,minlatitud,minlongitud,oldid
13,0.0,MEXICO,,0.0,0.0,709.0,3.0,26.67,-109.42,0.0,"Ciudad Obregón, Sonora, Mexico",27.4846619,-109.9337782,MX,MEX,0.0,0.0,0.0,26.67,26 40N,CIUDAD OBREGON,0.0,576.0,,-109.42,109 25W,34.720001,0.0,,20.98,,314.0,Central America and Caribbean,0.0,7.0,,POINT (-109.42 26.67),26.0,109.0,N,W,40.0,25.0,337.0
14,0.0,MEXICO,,0.0,0.0,673.0,0.0,20.6,-105.25,0.0,"Puerto Vallarta, Jalisco, Mexico",20.69820775,-105.18152416996546,MX,MEX,0.0,0.0,0.0,20.6,20 36N,PUERTO VALLARTA,0.0,659.0,,-105.25,105 15W,34.18,0.0,,23.52,Wet Lowland,1244.0,Central America and Caribbean,0.0,6.0,,POINT (-105.25 20.6),20.0,105.0,N,W,36.0,15.0,572.0
15,0.0,PANAMA,,0.0,0.0,517.0,0.0,8.13,-80.4,0.0,"Distrito Parita, Provincia de Herrera, Panama",8.035744000000001,-80.57281803208829,PA,PAN,0.0,0.0,0.0,8.13,8  8 N,PARITA,0.0,817.0,,-80.4,80 24 W,30.44,0.0,,22.85,Wet Lowland,1049.0,Central America and Caribbean,0.0,7.0,,POINT (-80.40000000000001 8.130000000000001),8.0,80.0,N,W,8.0,24.0,474.0
16,720.0,TANZANIA,,1020.0,918.0,657.0,935.0,-3.23,37.88,22.0,"Lambo Estate, 938, Nshara, Kilimanjaro, Tanzania",-3.2895184000000004,37.22804788645867,TZ,TZA,0.0,-3.0,37.88,-3.23,3 17S,LAMBO,0.0,918.0,,37.88,37 14E,30.639999,0.0,,17.42,Dry Lowland,459.0,Eastern and Southern Africa,0.0,12.0,,POINT (37.88 -3.23),3.0,37.0,S,E,17.0,14.0,1052.0
17,0.0,TRINIDAD Y TOBAGO,,0.0,0.0,0.0,0.0,11.0,-61.0,0.0,"Goldsborough, Tobago, Trinidad and Tobago",11.2128986,-60.6308368,TT,TTO,0.0,0.0,0.0,11.0,11  N,GOLDSBOROUGH,0.0,946.0,,-61.0,61  W,0.0,0.0,,0.0,,0.0,Central America and Caribbean,0.0,0.0,,POINT (-61 11),11.0,61.0,N,W,0.0,0.0,645.0
18,0.0,TRINIDAD Y TOBAGO,,0.0,0.0,0.0,0.0,11.08,-60.08,0.0,"Louis D'or, Tobago, Trinidad and Tobago",11.2538732,-60.5614864,TT,TTO,0.0,0.0,0.0,11.08,11 5 N,LOUIS D'OR,0.0,947.0,,-60.08,60 5 W,0.0,0.0,,0.0,,0.0,Central America and Caribbean,0.0,0.0,,POINT (-60.08 11.08),11.0,60.0,N,W,5.0,5.0,644.0
19,0.0,UGANDA,,0.0,0.0,576.0,1026.0,-10.66,35.58,0.0,"Songagagi, Hoima, Hoima, Uganda",1.6446775,31.2193473,UG,UGA,0.0,0.0,0.0,-10.66,,"LIKONDE,SONGEA",0.0,957.0,,35.58,,27.0399990082,0.0,,18.1800003052,Wet Upper Mid-altitude,1080.0,Eastern and Southern Africa,0.0,12.0,,POINT (35.58 -10.66),0.0,0.0,,,0.0,0.0,2003.0
20,0.0,ANGOLA,,0.0,0.0,0.0,0.0,,,0.0,"Angola, Angola",-11.8775768,17.5691241,,,0.0,0.0,0.0,0.0,,ANGOLA,0.0,5.0,,0.0,,0.0,0.0,,0.0,,0.0,Eastern and Southern Africa,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1981.0
21,0.0,ARGENTINA,,0.0,0.0,0.0,0.0,,,0.0,"Ruta Provincial 7, 63000, La Pampa, Argentina",-36.5361755,-63.9442975,,,0.0,0.0,0.0,0.0,,ANGUIL - PROVINCIA LA PAMPA,0.0,19.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1554.0
22,0.0,ARGENTINA,,0.0,0.0,0.0,0.0,,,0.0,"Argentina, Argentina",-34.9964963,-64.9672817,,,0.0,0.0,0.0,0.0,,ARGENTINA,0.0,20.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1667.0
23,0.0,ARGENTINA,,0.0,0.0,0.0,0.0,,,0.0,"El Manantial, K4726, Catamarca, Argentina",-28.7273918,-66.1433925,,,0.0,0.0,0.0,0.0,,EL MANANTIAL,0.0,21.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1787.0
24,0.0,ARGENTINA,,0.0,0.0,0.0,0.0,,,0.0,"Unilever Argentina, 4191, Alférez Hipólito Bouchard, B1605BNA, Alférez Hipólito Bouchard, Vicente López, Buenos Aires, Argentina",-34.5121516,-58.5248182,,,0.0,0.0,0.0,0.0,,LOS PEREYRAS,0.0,22.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1788.0
25,0.0,AZERBAIJAN,,0.0,0.0,0.0,0.0,,,0.0,"Rivyera City, Sumgayit, Sumqayit, Azerbaijan",40.58189255,49.6918518562582,,,0.0,0.0,0.0,0.0,,"ZAKATALA, CITY",0.0,24.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1806.0
26,0.0,BANGLADESH,,0.0,0.0,0.0,0.0,,,0.0,"Dinajpur, 5216, Rangpur Division, Bangladesh",25.6260712,88.6346228,,,0.0,0.0,0.0,0.0,,DINAJPUR,0.0,25.0,,0.0,,0.0,0.0,,0.0,,0.0,Asia,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1771.0
27,0.0,BANGLADESH,,0.0,0.0,0.0,0.0,,,0.0,"aristocrats, Dhaka - Dinajpur Hwy, 5200, Dhaka - Dinajpur Hwy, Dinajpur, Rangpur Division, Bangladesh",25.6422313,88.6462899,,,0.0,0.0,0.0,0.0,,"ARS, RAJBARI, DINAJPUR",0.0,26.0,,0.0,,0.0,0.0,,0.0,,0.0,Asia,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1822.0
28,0.0,BANGLADESH,,0.0,0.0,0.0,0.0,,,0.0,"Police Area Quarter, Rangpur Police, Pourobazar Road, 5400, Pourobazar Road, Rangpur, Rangpur Division, Bangladesh",25.754379999999998,89.24997547234628,,,0.0,0.0,0.0,0.0,,"ARS. BURIRHAT, RANGPUR",0.0,27.0,,0.0,,0.0,0.0,,0.0,,0.0,Asia,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2423.0
29,0.0,BANGLADESH,,0.0,0.0,0.0,0.0,,,0.0,"Bogra, 5800, Rajshahi Division, Bangladesh",24.8480859,89.3729529,,,0.0,0.0,0.0,0.0,,BOGRA,0.0,28.0,,0.0,,0.0,0.0,,0.0,,0.0,Asia,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1738.0
30,0.0,BANGLADESH,,0.0,0.0,0.0,0.0,,,0.0,"Gazipur, 1702, Dhaka Division, Bangladesh",23.9980797,90.4229848,,,0.0,0.0,0.0,0.0,,GAZIPUR,0.0,30.0,,0.0,,0.0,0.0,,0.0,,0.0,Asia,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1768.0
