LocationID,LocationIDOld,Country,Location,Region,Latitude,Longitude,ElevM,MAX_TEMP,MIN_TEMP,PRE,EVAP,START,MegaEnviron,DAYLENGTH,MEANTEMP,MEANTEMPRange,Z_M_RAIN,SITEID,LocationData,GRIDCODE,COUNT,ELEVATION,ELEV_M,LatitudeMin,grlatitud,minlatitud,latitudNS,LongitudeMin,grlongitud,minlongitud,longitudEW,LATITUDEdec,LONGITUDEdec,oldid,Irrig_p,ISO2,ISO3,temp_lat,temp_lng,geometry
398,,INDIA,DMR I.A.R.I.,Asia,18.35,-66.76,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,1986.0,0.0,IN,IND,18.35,-66.76,POINT (-66.76000000000001 18.35)
445,,INDONESIA,BONTOBILI,Asia,-5.25,119.05,45.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5 15S,5.0,15.0,S,119  3E,119.0,3.0,E,0.0,0.0,1276.0,0.0,ID,IDN,-5.25,119.05,POINT (119.05 -5.25)
451,,INDONESIA,MUNENG,Asia,-8.83,113.28,10.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,8 50S,8.0,50.0,S,113 17E,113.0,17.0,E,0.0,0.0,1282.0,0.0,ID,IDN,-8.83,113.28,POINT (113.28 -8.83)
562,,MEXICO,"CAMPECHE, CAMPECHE",Central America and Caribbean,20.67,-90.53,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,20 40 N,20.0,40.0,N,90 32W,90.0,32.0,W,0.0,0.0,549.0,0.0,MX,MEX,20.67,-90.53,POINT (-90.53 20.67)
817,,PANAMA,PARITA,Central America and Caribbean,8.13,-80.4,0.0,30.44,22.85,1049.0,517.0,7.0,Wet Lowland,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,8  8 N,8.0,8.0,N,80 24 W,80.0,24.0,W,0.0,0.0,474.0,0.0,PA,PAN,8.13,-80.4,POINT (-80.40000000000001 8.130000000000001)
918,,TANZANIA,LAMBO,Eastern and Southern Africa,-3.23,37.88,935.0,30.639999,17.42,459.0,657.0,12.0,Dry Lowland,,0.0,,,0.0,0.0,22.0,720.0,1020.0,918.0,3 17S,3.0,17.0,S,37 14E,37.0,14.0,E,-3.0,37.88,1052.0,0.0,TZ,TZA,-3.23,37.88,POINT (37.88 -3.23)
946,,TRINIDAD Y TOBAGO,GOLDSBOROUGH,Central America and Caribbean,11.0,-61.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11  N,11.0,0.0,N,61  W,61.0,0.0,W,0.0,0.0,645.0,0.0,TT,TTO,11.0,-61.0,POINT (-61 11)
947,,TRINIDAD Y TOBAGO,LOUIS D'OR,Central America and Caribbean,11.08,-60.08,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11 5 N,11.0,5.0,N,60 5 W,60.0,5.0,W,0.0,0.0,644.0,0.0,TT,TTO,11.08,-60.08,POINT (-60.08 11.08)
957,,UGANDA,"LIKONDE,SONGEA",Eastern and Southern Africa,-10.66,35.58,1026.0,27.0399990082,18.1800003052,1080.0,576.0,12.0,Wet Upper Mid-altitude,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,2003.0,0.0,UG,UGA,-10.66,35.58,POINT (35.58 -10.66)
1086,,CONGO,KANIAKA,Eastern and Southern Afric,-6.8167,23.9,728.0,30.5,19.1,930.0,571.0,11.0,Wet Lowland,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,CG,COG,-6.8167,23.9,POINT (23.9 -6.8167)
