Index,Type,Location,Country,Latitude,Longitude,Recorded_Lat,Recorded_Lng,Address,Country_Code
58,incorrect location data/cannot find coordinates,Lambo,"Tanzania, United Republic of",-3.23,37.88,,,"Lambo, Tanzania, United Republic of",TZA
59,incorrect location data/cannot find coordinates,Mwanza - Region,"Tanzania, United Republic of",0.0,0.0,,,,TZA
60,incorrect location data/cannot find coordinates,Nm,"Tanzania, United Republic of",0.0,0.0,,,,TZA
61,incorrect location data/cannot find coordinates,Tanzania,"Tanzania, United Republic of",0.0,0.0,,,,TZA
62,incorrect location data/cannot find coordinates,"Agua Blanca, Portuguesa","Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
63,incorrect location data/cannot find coordinates,Aragua (ceniap),"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
64,incorrect location data/cannot find coordinates,Araure (acarigua),"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
65,incorrect location data/cannot find coordinates,Araure (portuguesa),"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
66,incorrect location data/cannot find coordinates,"Carretera O, Turen, Portuguesa","Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
67,incorrect location data/cannot find coordinates,Centro Norte,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
68,incorrect location data/cannot find coordinates,Colonia Agricola De Turen,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
69,incorrect location data/cannot find coordinates,"El Diamante, Yaritagua","Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
70,incorrect location data/cannot find coordinates,El Playon,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
71,incorrect location data/cannot find coordinates,El Socorro,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
72,incorrect location data/cannot find coordinates,Guarico,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
73,incorrect location data/cannot find coordinates,La Lucia,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
74,incorrect location data/cannot find coordinates,Las Caramas,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
75,incorrect location data/cannot find coordinates,"Las Guacamayas, El Sombrero","Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
76,incorrect location data/cannot find coordinates,"Los Guayos, Carabobo State","Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
77,incorrect location data/cannot find coordinates,Manzanita,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
78,incorrect location data/cannot find coordinates,"Pascual Valetta, Laguna De Piedra","Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
79,incorrect location data/cannot find coordinates,Punta Gorda,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
80,incorrect location data/cannot find coordinates,Santa Barbara,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
81,incorrect location data/cannot find coordinates,Semillas Aragua,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
82,incorrect location data/cannot find coordinates,Tocoron,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
83,incorrect location data/cannot find coordinates,"Tocoron, Estado Aragua","Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
84,incorrect location data/cannot find coordinates,Tucupido,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
85,incorrect location data/cannot find coordinates,Turen,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
86,incorrect location data/cannot find coordinates,Unidad Agricola De Turen,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
87,incorrect location data/cannot find coordinates,Venezuela,"Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
88,incorrect location data/cannot find coordinates,"Villa De Cura, Aragua","Venezuela, Bolivarian Republic of",0.0,0.0,,,,VEN
89,incorrect location data/cannot find coordinates,"Ars, Amberpet, Hyd.",Viet Nam,0.0,0.0,,,,VNM
90,incorrect location data/cannot find coordinates,Binh Chanh Dictrict - Ho Chi Minh City,Viet Nam,0.0,0.0,,,,VNM
91,incorrect location data/cannot find coordinates,Binh Duong,Viet Nam,0.0,0.0,,,,VNM
92,incorrect location data/cannot find coordinates,Dan Phuong Hatay,Viet Nam,0.0,0.0,,,,VNM
93,incorrect location data/cannot find coordinates,Danphing Dist.,Viet Nam,0.0,0.0,,,,VNM
94,incorrect location data/cannot find coordinates,"Duc Hoa District, Long An Province",Viet Nam,0.0,0.0,,,,VNM
95,incorrect location data/cannot find coordinates,Gorakhpur,Viet Nam,0.0,0.0,,,,VNM
96,incorrect location data/cannot find coordinates,Tay Ninh Province,Viet Nam,0.0,0.0,,,,VNM
97,incorrect location data/cannot find coordinates,"Puerto Gaitan-carpoica,taluma",Colombia,0.0,0.0,,,,COL
98,incorrect location data/cannot find coordinates,Ivumwe,"Tanzania, United Republic of",0.0,0.0,,,,TZA
99,incorrect location data/cannot find coordinates,Cochabamba,"Bolivia, Plurinational State of",,,,,,BOL
100,no location/country entered / wrong country format,Unknown,Unknown,,,,,,
101,incorrect location data/cannot find coordinates,Ntugo-nmodzi,Mozambique,,,,,,MOZ
102,incorrect location data/cannot find coordinates,Sari,"Tanzania, United Republic of",,,,,,TZA
103,incorrect location data/cannot find coordinates,Karatu,"Tanzania, United Republic of",,,,,,TZA
104,incorrect location data/cannot find coordinates,"Finca Las Matas, Palo Negro","Venezuela, Bolivarian Republic of",,,,,,VEN
105,incorrect location data/cannot find coordinates,Un San County,South Korea,,,,,,KOR
106,incorrect location data/cannot find coordinates,"Mungushi, Hai","Tanzania, United Republic of",0.0,0.0,,,,TZA
107,incorrect location data/cannot find coordinates,Kasapa,"Congo, The Democratic Republic of the",,,,,,COD
108,incorrect location data/cannot find coordinates,La Máquina Caballo Blanco,Guatemala,0.0,0.0,,,,GTM
109,incorrect location data/cannot find coordinates,Tocorón-edo. Aragua,"Venezuela, Bolivarian Republic of",,,,,,VEN
110,incorrect location data/cannot find coordinates,"San Andres, El Salvador",El Salvador,,,,,,SLV
111,no location/country entered / wrong country format,Trial Series,,,,,,,
112,incorrect location data/cannot find coordinates,"Dan Phuong, Hanoi",Viet Nam,,,,,,VNM
113,incorrect location data/cannot find coordinates,Babati,"Tanzania, United Republic of",,,,,,TZA
114,incorrect location data/cannot find coordinates,Sanya Juu,"Tanzania, United Republic of",,,,,,TZA
115,incorrect location data/cannot find coordinates,Tengeru,"Tanzania, United Republic of",,,,,,TZA
116,incorrect location data/cannot find coordinates,Hamdeni,"Tanzania, United Republic of",,,,,,TZA
117,incorrect location data/cannot find coordinates,Mwele,"Tanzania, United Republic of",,,,,,TZA
118,incorrect location data/cannot find coordinates,Oaklands Farm Mooi River,South Africa,,,,,,ZAF
119,incorrect location data/cannot find coordinates,Hudeiba (eddamer),Sudan,,,,,,SDN
120,incorrect location data/cannot find coordinates,Hudeiba (eddaner),Sudan,,,,,,SDN
121,incorrect location data/cannot find coordinates,Carapari,"Bolivia, Plurinational State of",,,,,,BOL
122,incorrect location data/cannot find coordinates,Pajonal Entre Rios,"Bolivia, Plurinational State of",,,,,,BOL
123,incorrect location data/cannot find coordinates,Piriti Villa Montes,"Bolivia, Plurinational State of",,,,,,BOL
124,incorrect location data/cannot find coordinates,San Jose Norte,"Bolivia, Plurinational State of",,,,,,BOL
125,incorrect location data/cannot find coordinates,Palo Negro,"Venezuela, Bolivarian Republic of",,,,,,VEN
126,incorrect location data/cannot find coordinates,Makoholi Drewton,Zimbabwe,,,,,,ZWE
127,incorrect location data/cannot find coordinates,Koronnia Research Station - - - Koronivia Research,Fiji,-18.0961112976074,178.545562744141,,,"Koronnia Research Station - - - Koronivia Research, Fiji",FJI
128,incorrect location data/cannot find coordinates,Boma Ngombe,"Tanzania, United Republic of",,,,,,TZA
129,incorrect location data/cannot find coordinates,"Caruapoma, Bella Vista, Tarapoto",Peru,,,,,,PER
130,incorrect location data/cannot find coordinates,Sagrado Corazónl,"Bolivia, Plurinational State of",,,,,,BOL
131,incorrect location data/cannot find coordinates,Handeni,"Tanzania, United Republic of",,,,,,TZA
132,incorrect location data/cannot find coordinates,Mlangarini,"Tanzania, United Republic of",,,,,,TZA
133,incorrect location data/cannot find coordinates,Dutwa-bariadi,"Tanzania, United Republic of",,,,,,TZA
134,incorrect location data/cannot find coordinates,Kilimatembo,"Tanzania, United Republic of",,,,,,TZA
135,incorrect location data/cannot find coordinates,Mara Farm,"Tanzania, United Republic of",,,,,,TZA
136,incorrect location data/cannot find coordinates,Meru,"Tanzania, United Republic of",,,,,,TZA
137,incorrect location data/cannot find coordinates,Yala Swamp (intercrop),Kenya,,,,,,KEN
138,incorrect location data/cannot find coordinates,Yala Swamp (sole Crop),Kenya,,,,,,KEN
139,incorrect location data/cannot find coordinates,Tlawi,"Tanzania, United Republic of",,,,,,TZA
